Rank,Nickname,Points,DateOfPeriodStart
1,"BaconDrink",12578,"2018-04-18"
2,"Starkiller",11614,"2015-09-08"
3,"HaHAxD*",11468,"2016-01-09"
4,"TyшkaNчuk",11354,"2016-02-12"
5,"Grk0ne",10882,"2017-02-14"
6,"milk",10212,"2015-01-16"
7,"Knuski",10204,"2018-07-02"
8,"Cazanna",10139,"2018-04-16"
9,"NANAMAR",9937,"2015-11-08"
10,"Konsti",9357,"2016-06-01"
11,"Cor",8975,"2016-11-30"
12,"Kicker",8868,"2017-05-07"
13,"DA`VI",8811,"2016-05-07"
14,"Tropo",8618,"2016-01-16"
15,"WhitePau",8551,"2017-08-05"
16,"gB. | Kayumi",8441,"2014-02-28"
17,"bano",8427,"2017-03-31"
18,"Graves",8264,"2016-12-07"
19,"Goran",8039,"2016-06-27"
20,"TeeLee",8027,"2015-09-22"
21,"Aoe",8025,"2015-08-30"
22,".:Danytto:.",7908,"2017-08-01"
23,"Beiroc",7898,"2016-02-12"
24,"Noctua",7898,"2016-07-30"
25,"NISO",7840,"2016-12-01"
26,"gL. | Kenzo",7837,"2017-08-04"
27,"kys :)",7797,"2015-09-06"
28,"Jimmy Jazz",7693,"2016-06-04"
29,"AerToX",7687,"2016-11-20"
30,"Wombat",7681,"2015-09-08"
31,"Themix",7523,"2014-07-24"
32,"Wondernoob",7413,"2015-11-28"
33,"'faceless",7390,"2018-05-13"
34,"Ark :3",7281,"2014-05-29"
35,"watёr",7204,"2016-08-07"
36,"ScReeNy",7172,"2016-09-25"
37,"Rᴇᴇvıᴇ",7152,"2016-05-06"
38,"Forris",7112,"2015-05-14"
39,"Novo c:",7080,"2014-12-19"
40,"Kati",7046,"2018-06-23"
41,"Puncha",6908,"2014-11-23"
42,"*~Rôny~*",6883,"2017-01-03"
43,"dIeD",6883,"2017-02-12"
44,"Ninjed",6873,"2016-05-05"
45,"triki",6824,"2015-02-21"
46,"Brokecdx-",6783,"2018-06-23"
47,"2oo",6759,"2015-01-10"
48,"Sαnti~",6757,"2016-12-11"
49,"Cyclic~",6737,"2017-08-01"
50,"Obst",6675,"2014-06-30"
51,"Theon",6584,"2018-06-07"
52,"NovaShock",6569,"2016-12-05"
53,"Cendren",6566,"2016-09-20"
54,"Ra!n",6498,"2015-06-16"
55,"Freezestyler",6480,"2016-09-25"
56,"┇»MíM«┇",6459,"2018-06-13"
57,"Habibi57",6425,"2015-04-04"
58,"<BµmM>",6417,"2014-09-19"
59,"LanuX",6378,"2015-05-23"
60,"=Pipou=",6370,"2015-07-10"
61,"Skaydox",6347,"2016-12-08"
62,"|Ŗaþŧurę|",6327,"2014-08-04"
63,"Infern@L",6226,"2017-03-20"
64,"WAFthfguaq19012",6191,"2017-01-24"
65,"=Schulzer=",6188,"2014-10-09"
66,"ZimE",6146,"2015-06-07"
67,"Xi",6142,"2016-09-02"
68,"Black Jack",6138,"2017-06-02"
69,"Mr.E}|{UK",6137,"2015-06-15"
70,"Hunter13ua",6101,"2016-08-07"
71,"The Direwolf",6073,"2018-02-25"
72,"Fluday",6030,"2016-01-09"
73,"StarkillerJr.<3",5993,"2017-12-14"
74,"Ske",5942,"2015-12-03"
75,"vizur",5867,"2017-08-14"
76,"Issi",5821,"2017-12-21"
77,"☯Mڶɴ3☯",5786,"2017-05-06"
78,"lola",5761,"2017-05-24"
79,"N9mkOik",5738,"2017-07-30"
80,"MPA3b",5699,"2016-05-01"
81,"Shawn.",5699,"2017-03-01"
82,"bob",5681,"2016-11-04"
83,"Exotix",5678,"2014-10-10"
84,"Crytek",5668,"2016-09-15"
85,"Blurry",5608,"2016-03-03"
86,"daladen",5554,"2017-11-16"
87,"☆.Sυsнι♪",5542,"2016-04-19"
88,"TomeeY",5536,"2016-03-23"
89,"Okami",5502,"2016-11-11"
90,"Gorden",5496,"2016-11-11"
91,"Sui :3",5462,"2014-02-16"
92,"Syltoox",5425,"2017-05-09"
93,"Esckiller",5384,"2017-05-20"
94,"Ama",5372,"2014-06-03"
95,"Gurky",5314,"2014-08-19"
96,"Frr :3",5249,"2014-12-21"
97,"Quote",5201,"2016-11-14"
98,"Keffz",5154,"2016-08-12"
99,"aMu",5144,"2013-09-10"
100,"RavenXXX",5141,"2015-03-21"
