PointsPerDay,Nick,Date
749,":Ram","2016-08-26"
543,"Insane","2017-05-27"
481,"ZP|Niklas'","2016-04-04"
464,"El Mohands","2016-08-20"
438,"?#@","2019-02-03"
414,"Linkx3","2019-05-13"
384,"Sawyn","2019-06-01"
372,"Avada","2018-02-11"
362,"Ruan","2017-03-20"
353,"british tea","2016-08-17"
346,"FFX","2015-10-27"
340,"HaZeNobody","2017-07-08"
339,"whoami","2017-08-14"
332,"RonIn","2017-12-25"
331,"Frank Castle","2018-03-14"
329,"missgebrot","2016-05-16"
324,"?#@","2019-02-01"
319,"Monochrome","2017-02-18"
318,"Xop9","2019-02-28"
317,"Px-seven","2017-04-23"
310,"Frank Castle","2018-03-13"
309,"Kadi","2017-06-24"
307,"Timbaland","2018-03-19"
303,"Brokecdx-","2018-12-19"
301,"Mini joe","2017-07-19"
